goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      57	   3907200 ns/op	  621340 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      61	   3766424 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      57	   3730554 ns/op	  621339 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      60	   3695870 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      61	   3658185 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      52	   3933322 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      24	   9690055 ns/op	 4563170 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      22	   9907788 ns/op	 4563178 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      22	  10217793 ns/op	 4563423 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      22	   9922328 ns/op	 4563176 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      20	  10201969 ns/op	 4563177 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      22	  10122663 ns/op	 4563170 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      21	  10477670 ns/op	 4563169 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      22	   9981457 ns/op	 4563170 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      25	   9038153 ns/op	 4563170 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=sparse-24               	      24	   9787515 ns/op	 4563172 B/op	   65580 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    7262	     37260 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6021	     39547 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    5896	     39690 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6361	     35516 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6100	     38043 ns/op	   99456 B/op	      33 allocs/op
