goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
,./roaring_bitmaps/bench_results_count10.txt,
,sec/op,CI
Or/runopt=on/data=zipf-24,87928,0%
AndNot/runopt=off/data=sparse-24,4.11594e+06,0%
AndNot/runopt=off/data=runs-24,99456,0%
AndNot/runopt=off/data=zipf-24,433641,0%
AndNot/runopt=on/data=sparse-24,4.11594e+06,0%
AndNot/runopt=on/data=runs-24,3952,0%
AndNot/runopt=on/data=zipf-24,84576,0%
Xor/runopt=off/data=sparse-24,4.563172e+06,0%
Xor/runopt=off/data=runs-24,99456,0%
Xor/runopt=off/data=zipf-24,898794,0%
Xor/runopt=on/data=sparse-24,4.563172e+06,0%
Xor/runopt=on/data=runs-24,9552,0%
Xor/runopt=on/data=zipf-24,186936,0%
AndCardinality/runopt=off/data=sparse-24,2.46737e+06,0%
AndCardinality/runopt=off/data=runs-24,0,0%
AndCardinality/runopt=off/data=zipf-24,327169,0%
AndCardinality/runopt=on/data=sparse-24,2.4673715e+06,0%
AndCardinality/runopt=on/data=runs-24,2144,0%
AndCardinality/runopt=on/data=zipf-24,42880,0%
SerializedSize/codec=raw/data=sparse-24,0,0%
SerializedSize/codec=roaring/data=sparse-24,0,0%
SerializedSize/codec=raw/data=runs-24,0,0%
SerializedSize/codec=roaring/data=runs-24,0,0%
SerializedSize/codec=raw/data=zipf-24,0,0%
SerializedSize/codec=roaring/data=zipf-24,0,0%
ToBytes/codec=raw/data=sparse-24,802816,0%
ToBytes/codec=roaring/data=sparse-24,663552,0%
ToBytes/codec=raw/data=runs-24,745476.5,0%
ToBytes/codec=roaring/data=runs-24,1536,0%
ToBytes/codec=raw/data=zipf-24,794628,0%
ToBytes/codec=roaring/data=zipf-24,28720,0%
FromBytes/codec=raw/data=sparse-24,802816,0%
FromBytes/codec=roaring/data=sparse-24,3.1634365e+06,0%
FromBytes/codec=raw/data=runs-24,745472,0%
FromBytes/codec=roaring/data=runs-24,2488,0%
FromBytes/codec=raw/data=zipf-24,794624.5,0%
FromBytes/codec=roaring/data=zipf-24,55536,0%
Rank/method=array/data=sparse-24,0,0%
Rank/method=roaring/data=sparse-24,0,0%
Rank/method=array/data=runs-24,0,0%
Rank/method=roaring/data=runs-24,0,0%
Rank/method=array/data=zipf-24,0,0%
Rank/method=roaring/data=zipf-24,0,0%
Select/method=array/data=sparse-24,0,0%
Select/method=roaring/data=sparse-24,0,0%
Select/method=array/data=runs-24,0,0%
Select/method=roaring/data=runs-24,0,0%
Select/method=array/data=zipf-24,0,0%
Select/method=roaring/data=zipf-24,0,0%
geomean,,

,./roaring_bitmaps/bench_results_count10.txt,
,allocs/op,CI
Build/runopt=off/data=sparse-24,94643,0%
Build/runopt=off/data=runs-24,201,0%
Build/runopt=off/data=zipf-24,3045,0%
Build/runopt=on/data=sparse-24,94643,0%
Build/runopt=on/data=runs-24,213,0%
Build/runopt=on/data=zipf-24,3405,0%
Memory/runopt=off/data=sparse-24,0,0%
Memory/runopt=off/data=runs-24,0,0%
Memory/runopt=off/data=zipf-24,0,0%
Memory/runopt=on/data=sparse-24,0,0%
Memory/runopt=on/data=runs-24,0,0%
Memory/runopt=on/data=zipf-24,0,0%
Contains/runopt=off/data=sparse-24,0,0%
Contains/runopt=off/data=runs-24,0,0%
Contains/runopt=off/data=zipf-24,0,0%
Contains/runopt=on/data=sparse-24,0,0%
Contains/runopt=on/data=runs-24,0,0%
Contains/runopt=on/data=zipf-24,0,0%
And/runopt=off/data=sparse-24,65239,0%
And/runopt=off/data=runs-24,39,0%
And/runopt=off/data=zipf-24,664,0%
And/runopt=on/data=sparse-24,65239,0%
And/runopt=on/data=runs-24,33,0%
And/runopt=on/data=zipf-24,661,0%
Or/runopt=off/data=sparse-24,65580,0%
Or/runopt=off/data=runs-24,33,0%
Or/runopt=off/data=zipf-24,849,0%
Or/runopt=on/data=sparse-24,65580,0%
Or/runopt=on/data=runs-24,33,0%
Or/runopt=on/data=zipf-24,838,0%
AndNot/runopt=off/data=sparse-24,65424,0%
AndNot/runopt=off/data=runs-24,33,0%
AndNot/runopt=off/data=zipf-24,745,0%
AndNot/runopt=on/data=sparse-24,65424,0%
AndNot/runopt=on/data=runs-24,33,0%
AndNot/runopt=on/data=zipf-24,746,0%
Xor/runopt=off/data=sparse-24,65580,0%
Xor/runopt=off/data=runs-24,33,0%
Xor/runopt=off/data=zipf-24,848,0%
Xor/runopt=on/data=sparse-24,65580,0%
Xor/runopt=on/data=runs-24,57,0%
Xor/runopt=on/data=zipf-24,1482,0%
AndCardinality/runopt=off/data=sparse-24,65228,0%
AndCardinality/runopt=off/data=runs-24,0,0%
AndCardinality/runopt=off/data=zipf-24,634,0%
AndCardinality/runopt=on/data=sparse-24,65228,0%
AndCardinality/runopt=on/data=runs-24,24,0%
AndCardinality/runopt=on/data=zipf-24,646,0%
SerializedSize/codec=raw/data=sparse-24,0,0%
SerializedSize/codec=roaring/data=sparse-24,0,0%
SerializedSize/codec=raw/data=runs-24,0,0%
SerializedSize/codec=roaring/data=runs-24,0,0%
SerializedSize/codec=raw/data=zipf-24,0,0%
SerializedSize/codec=roaring/data=zipf-24,0,0%
ToBytes/codec=raw/data=sparse-24,1,0%
ToBytes/codec=roaring/data=sparse-24,1,0%
ToBytes/codec=raw/data=runs-24,1,0%
ToBytes/codec=roaring/data=runs-24,1,0%
ToBytes/codec=raw/data=zipf-24,1,0%
ToBytes/codec=roaring/data=zipf-24,2,0%
FromBytes/codec=raw/data=sparse-24,1,0%
FromBytes/codec=roaring/data=sparse-24,65384,0%
FromBytes/codec=raw/data=runs-24,1,0%
FromBytes/codec=roaring/data=runs-24,28,0%
FromBytes/codec=raw/data=zipf-24,1,0%
FromBytes/codec=roaring/data=zipf-24,730,0%
Rank/method=array/data=sparse-24,0,0%
Rank/method=roaring/data=sparse-24,0,0%
Rank/method=array/data=runs-24,0,0%
Rank/method=roaring/data=runs-24,0,0%
Rank/method=array/data=zipf-24,0,0%
Rank/method=roaring/data=zipf-24,0,0%
Select/method=array/data=sparse-24,0,0%
Select/method=roaring/data=sparse-24,0,0%
Select/method=array/data=runs-24,0,0%
Select/method=roaring/data=runs-24,0,0%
Select/method=array/data=zipf-24,0,0%
Select/method=roaring/data=zipf-24,0,0%
geomean,,

